company_name,tax_code,vsic_4digit,vsic_division,address,province,founded_year,source_url,listing_url,retrieved_at
CHI NHÁNH CÔNG TY TNHH NHÔM TOÀN CẦU VIỆT NAM,3501892035-001,2511,25,"Xưởng số 13, Lô 15-17-19, đường số 5, KCN Tân Đức, Xã Đức Hòa Hạ(Hết hiệu lực), Tây Ninh",Tây Ninh,,https://www.masothue.com/3501892035-001-chi-nhanh-cong-ty-tnhh-nhom-toan-cau-viet-nam,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=5,2026-08-24T09:02:45Z
CÔNG TY CỔ PHẦN SAO THÁI BÌNH,3602104925,2511,25,"Số 151/1, ấp Nhất Hòa, Xã Hiệp Hòa, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",Đồng Nai,,https://www.masothue.com/3602104925-cong-ty-co-phan-sao-thai-binh,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=2,2026-08-24T09:02:41Z
CHI NHÁNH CÔNG TY TNHH CƠ KHÍ NÉT,3602457215-001,2511,25,"Số 524/62, KP 2, Phường An Bình, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",Đồng Nai,,https://www.masothue.com/3602457215-001-chi-nhanh-cong-ty-tnhh-co-khi-net,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=2,2026-08-24T09:02:41Z
CHI NHÁNH CÔNG TY TNHH QUÝ ĐẠI LỘC,3602493012-002,2511,25,"Số 100/7/15, tổ 35, KP 11, Phường Tân Phong, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",Đồng Nai,,https://www.masothue.com/3602493012-002-chi-nhanh-cong-ty-tnhh-quy-dai-loc,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=5,2026-08-24T09:02:45Z
CÔNG TY TNHH MỘT THÀNH VIÊN VIÊN THÔNG,3602960806,2511,25,"12/4, KP2, Phường Tân Mai, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",Đồng Nai,,https://www.masothue.com/3602960806-cong-ty-tnhh-mot-thanh-vien-vien-thong,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=5,2026-08-24T09:02:45Z
DOANH NGHIỆP TƯ NHÂN THÂN TÙNG TUYẾN,3603276934,2511,25,"Số 178, tổ 29, KP 2, Phường Trảng Dài, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",Đồng Nai,,https://www.masothue.com/3603276934-doanh-nghiep-tu-nhan-than-tung-tuyen,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=3,2026-08-24T09:02:42Z
CÔNG TY TNHH MỘT THÀNH VIÊN CƠ KHÍ NHỊ LONG,3603380491,2511,25,"Tổ 5, ấp 3A, Xã Xuân Bắc, Huyện Xuân Lộc, Tỉnh Đồng Nai, Việt Nam",Đồng Nai,,https://www.masothue.com/3603380491-cong-ty-tnhh-mot-thanh-vien-co-khi-nhi-long,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=3,2026-08-24T09:02:42Z
DOANH NGHIỆP TƯ NHÂN AN NHÀN PHÁT,3603450773,2511,25,"Số 5/3, KP7, Phường Tân Hòa, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",Đồng Nai,,https://www.masothue.com/3603450773-doanh-nghiep-tu-nhan-an-nhan-phat,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=3,2026-08-24T09:02:42Z
CÔNG TY TNHH CƠ KHÍ XÂY LẮP YẾN CHIẾN THẮNG,3603474372,2511,25,"Số 284/9/1, tổ 22, Khu phố Hương Phước, Phường Phước Tân, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",Đồng Nai,,https://www.masothue.com/3603474372-cong-ty-tnhh-co-khi-xay-lap-yen-chien-thang,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=5,2026-08-24T09:02:45Z
CÔNG TY TNHH LEADING EDGE.,3700406064,2511,25,"Lô E, đường số 8, khu công nghiệp Sóng Thần 1, Phường Dĩ An, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,,https://www.masothue.com/3700406064-cong-ty-tnhh-leading-edge,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=2,2026-08-24T09:02:41Z
